Device,Test Name,Test Status,Message(s),Test description,Test category
borderleaf1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
borderleaf1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
borderleaf1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
borderleaf1,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
borderleaf1,VerifyReachability,success,,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
borderleaf1,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
borderleaf1,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
borderleaf1,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
borderleaf1,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
borderleaf1,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
borderleaf1,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
borderleaf1,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
borderleaf1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
borderleaf1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
borderleaf1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
borderleaf1,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
borderleaf1,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
borderleaf1,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
borderleaf1,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
borderleaf1,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
borderleaf1,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
borderleaf1,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
borderleaf1,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
borderleaf1,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
borderleaf1,VerifyCoredump,success,,Verifies there are no core dump files.,System
borderleaf1,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
borderleaf1,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
borderleaf1,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
borderleaf1,VerifyNTP,success,,Verifies if NTP is synchronised.,System
borderleaf1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
borderleaf1,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
borderleaf2,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
borderleaf2,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
borderleaf2,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
borderleaf2,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
borderleaf2,VerifyReachability,success,,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
borderleaf2,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
borderleaf2,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
borderleaf2,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
borderleaf2,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
borderleaf2,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
borderleaf2,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
borderleaf2,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
borderleaf2,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
borderleaf2,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
borderleaf2,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
borderleaf2,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
borderleaf2,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
